time,IPLA,IPref,ECEcore,SSXcore,LI,Q95,ZMAG,Vloop,IPE,Instability,Window
0.066,-221815.28,0.022460938,1141.5006,0.0018310994,0.6617519,10.408838,0.020125447,-14.933117,-221815.3,0,3
0.067,-224764.48,0.022460938,1141.5006,0.002288878,0.6617519,10.408838,0.020125447,-14.733182,-224764.5,0,3
0.068,-229304.5,0.022460938,1141.5006,0.0024414808,0.6617519,10.408838,0.020125447,-15.410627,-229304.52,0,3
0.069,-230946.48,0.022460938,1141.5006,0.0016785115,0.6617519,10.408838,0.020125447,-15.450281,-230946.5,0,3
0.07,-235391.42,0.022460938,1141.5006,0.0018310994,0.6617519,10.408838,0.020125447,-14.934116,-235391.44,0,3
0.071,-241231.19,0.022460938,1141.5006,0.00213629,0.6617519,10.408838,0.020125447,-14.176031,-241231.2,0,3
0.072,-244185.64,0.022460938,1141.5006,0.0018310994,0.6617519,10.408838,0.020125447,-14.45394,-244185.66,0,3
0.073,-247468.86,0.022460938,1141.5006,0.0015259236,0.6617519,10.408838,0.020125447,-14.972771,-247468.88,0,3
0.074,-252619.27,0.022460938,1141.5006,0.00213629,0.6617519,10.408838,0.020125447,-14.215019,-252619.28,0,3
0.075,-255154.2,0.022460938,1141.5006,0.0012207329,0.6617519,10.408838,0.020125447,-14.415953,-255154.22,0,3
0.076,-258895.73,0.022460938,1141.5006,0.0015259236,0.6617519,10.408838,0.020125447,-14.5759,-258895.75,0,3
0.077,-261727.47,0.022460938,1141.5006,0.0025940686,0.6617519,10.408838,0.020125447,-14.653874,-261727.48,0,3
0.078,-266284.53,0.022460938,1141.5006,0.001068145,0.6617519,10.408838,0.020125447,-14.45394,-266284.56,0,3
0.079,-267609.9,0.022460938,1141.5006,0.0015259236,0.6617519,10.408838,0.020125447,-14.296658,-267609.94,0,3
0.08,-273034.47,0.022460938,1141.5006,0.0025940686,0.6617519,10.408838,0.020125447,-14.335646,-273034.5,0,3
0.081,-275765.06,0.022460938,1141.5006,0.0015259236,0.6617519,10.408838,0.020125447,-14.613888,-275765.1,0,3
0.082,-280358.0,0.022460938,1141.5006,0.001068145,0.6617519,10.408838,0.020125447,-14.334646,-280358.03,0,4
0.083,-281963.7,0.022460938,1141.5006,0.00213629,0.6617519,10.408838,0.020125447,-15.051745,-281963.72,0,4
0.084,-285116.62,0.022460938,1141.5006,0.0015259236,0.6617519,10.408838,0.020125447,-14.813823,-285116.66,0,4
0.085,-288575.4,0.022460938,1141.5006,0.0012207329,0.6617519,10.408838,0.020125447,-14.932784,-288575.44,0,4
