distances,distance_mean,minor_events,instability_x_current,ECEcore,ECEcore_mean,ECEcore_dx1,ECEcore_dx2,ZMAG,ZMAG_mean,LI,LI_mean,IPLA,fft_low,shot,label,window,IPLA_dx1,IPLA_dx2,IPLA_dx3,IPLA_ddx,IPLA_1,IPLA_2,IPLA_3,IPLA_4,IPLA_mean,time_window,Vloop_1,Vloop_2,Vloop_3,Vloop_4
"[  47251.75   38434.25   31351.5    14218.75    2360.25  -12512.5
  -26161.25  -35687.    -40613.75  -47970.    -53774.5   -56850.5
  -90163.5  -101625.5   -49695.  ]",-25429.133333333335,2.0,5346022.5,"[442.6914   466.4399   467.32544  491.09518  495.10568  504.41394
 519.67505  522.87335  533.0004   545.3351   550.31396  555.71893
 431.26636   21.53029    8.823416]",437.04056,-409.73605,-12.706875,"[0.28965047 0.24660058 0.24660058 0.24660058 0.24660058 0.24660058
 0.24660058 0.24660058 0.24660058 0.24660058 0.24660058 0.24660058
 0.24660058 0.24660058 0.24660058]",0.2494706,"[1.0385356 0.7620407 0.7620407 0.7620407 0.7620407 0.7620407 0.7620407
 0.7620407 0.7620407 0.7620407 0.7620407 0.7620407 0.7620407 0.7620407
 0.7620407]",0.78047377,"[2748872.2 2739139.2 2732056.5 2714054.  2702195.5 2687322.8 2672758.2
 2663232.5 2657390.2 2649164.2 2643359.8 2639368.2 2606055.2 2594593.2
 2645608.2]",40095170.25,94658,2,850,-33313.0,-11462.0,51015.0,62477.0,2645608.2,2672758.2,2663232.5,2687322.8,2673011.2,8.999,8.09335,-8.5503298441569,-4.743373394012451,4.453879
"[  47251.75   38434.25   31351.5    14218.75    2360.25  -12512.5
  -26161.25  -35687.    -40613.75  -47970.    -53774.5   -56850.5
  -90163.5  -101625.5   -49695.  ]",-25429.133333333335,7.0,18711078.0,"[442.6914   466.4399   467.32544  491.09518  495.10568  504.41394
 519.67505  522.87335  533.0004   545.3351   550.31396  555.71893
 431.26636   21.53029    8.823416]",437.04056,-409.73605,-12.706875,"[0.28965047 0.24660058 0.24660058 0.24660058 0.24660058 0.24660058
 0.24660058 0.24660058 0.24660058 0.24660058 0.24660058 0.24660058
 0.24660058 0.24660058 0.24660058]",0.2494706,"[1.0385356 0.7620407 0.7620407 0.7620407 0.7620407 0.7620407 0.7620407
 0.7620407 0.7620407 0.7620407 0.7620407 0.7620407 0.7620407 0.7620407
 0.7620407]",0.78047377,"[2748872.2 2739139.2 2732056.5 2714054.  2702195.5 2687322.8 2672758.2
 2663232.5 2657390.2 2649164.2 2643359.8 2639368.2 2606055.2 2594593.2
 2645608.2]",40095170.25,94658,2,851,-33313.0,-11462.0,51015.0,62477.0,2645608.2,2672758.2,2663232.5,2687322.8,2673011.2,8.999,8.09335,-8.5503298441569,-4.743373394012451,4.453879
"[-13557.75 -19015.75 -15703.5  -18599.   -16084.   -15644.25 -19325.5
 -18312.25 -24453.75 -24295.75 -29788.   -39183.75 -58013.5  -49794.
 316031.5 ]",-3049.2833333333333,8.0,18055596.0,"[711.4786    696.3585    692.65765   688.9189    691.7942    675.9408
 691.4057    693.4872    680.64233   684.6757    676.4389    447.5117
  24.684479   39.49013     5.0154505]",540.0334,14.805653,-34.47468,"[0.21888992 0.21282274 0.21282274 0.21282274 0.21282274 0.21282274
 0.21282274 0.21282274 0.21282274 0.21282274 0.21282274 0.21282274
 0.21282274 0.21282274 0.21282274]",0.2132272,"[1.3111607 1.3104417 1.3104417 1.3104417 1.3104417 1.3104417 1.3104417
 1.3104417 1.3104417 1.3104417 1.3104417 1.3104417 1.3104417 1.3104417
 1.3104417]",1.3104898,"[2249613.2 2244155.2 2246590.  2243694.5 2245293.8 2244817.8 2241136.5
 2241272.2 2235130.8 2235288.8 2228880.8 2218607.5 2199777.8 2207081.5
 2572907. ]",33854247.25,95467,2,852,-18829.75,7303.75,365825.5,358521.75,2572907.0,2241136.5,2241272.2,2244817.8,2256949.5,16.837,129.66621,-2.048447926839193,-2.20611310005188,-0.39787
"[-13557.75 -19015.75 -15703.5  -18599.   -16084.   -15644.25 -19325.5
 -18312.25 -24453.75 -24295.75 -29788.   -39183.75 -58013.5  -49794.
 316031.5 ]",-3049.2833333333333,13.0,29340348.0,"[711.4786    696.3585    692.65765   688.9189    691.7942    675.9408
 691.4057    693.4872    680.64233   684.6757    676.4389    447.5117
  24.684479   39.49013     5.0154505]",540.0334,14.805653,-34.47468,"[0.21888992 0.21282274 0.21282274 0.21282274 0.21282274 0.21282274
 0.21282274 0.21282274 0.21282274 0.21282274 0.21282274 0.21282274
 0.21282274 0.21282274 0.21282274]",0.2132272,"[1.3111607 1.3104417 1.3104417 1.3104417 1.3104417 1.3104417 1.3104417
 1.3104417 1.3104417 1.3104417 1.3104417 1.3104417 1.3104417 1.3104417
 1.3104417]",1.3104898,"[2249613.2 2244155.2 2246590.  2243694.5 2245293.8 2244817.8 2241136.5
 2241272.2 2235130.8 2235288.8 2228880.8 2218607.5 2199777.8 2207081.5
 2572907. ]",33854247.25,95467,2,853,-18829.75,7303.75,365825.5,358521.75,2572907.0,2241136.5,2241272.2,2244817.8,2256949.5,16.837,129.66621,-2.048447926839193,-2.20611310005188,-0.39787
"[1167629.25  1164927.5   1162933.5   1162276.625 1161002.375 1160106.
 1155192.25  1156463.625 1154886.75  1155591.    1153786.5   1153077.
 1298228.375 1308779.    1312420.625]",1188486.6916666667,5.0,5942433.5,"[892.6609  855.2241  858.839   858.839   863.16406 865.8386  862.76105
 863.2956  861.822   857.2468  857.2468  860.2772  664.4064  467.37277
 238.56671]",781.83746,-197.0336,-228.80606,"[0.05448151 0.05448151 0.05448151 0.05448151 0.05448151 0.05448151
 0.06466522 0.06466522 0.06466522 0.06466522 0.06466522 0.06466522
 0.06466522 0.06466522 0.06466522]",0.06059173,"[1.3508625 1.3508625 1.3508625 1.3508625 1.3508625 1.3508625 1.3397908
 1.3397908 1.3397908 1.3397908 1.3397908 1.3397908 1.3397908 1.3397908
 1.3397908]",1.3442193,"[1167629.2 1164927.5 1162933.5 1162276.6 1161002.4 1160106.  1155192.2
 1156463.6 1154886.8 1155591.  1153786.5 1153077.  1298228.4 1308779.
 1312420.6]",17827300.375,96292,2,854,145151.38,10550.625,3641.625,-6909.0,1312420.6,1155192.2,1156463.6,1160106.0,1188486.6,22.959,49.323544,19.165404001871746,-0.23575718700885773,0.360215
"[ -5220.75  -4906.25  -7341.    -8773.75  -5149.5   -4770.    -3835.5
  -7869.5   -8668.75 -12646.75 -13577.5  -22542.   -37735.25 -57286.25
 272575.25]",4816.833333333333,13.0,35956972.0,"[1320.242    1318.5951   1328.1821   1324.5626   1319.1528   1315.3767
 1324.8352   1302.4083   1296.5752   1282.4685   1293.7957   1276.3938
 1242.8203    997.69086    25.722712]",1197.9216,-245.12946,-971.96814,"[0.3317482 0.3317482 0.3317482 0.3375403 0.3375403 0.3375403 0.3375403
 0.3375403 0.3375403 0.3375403 0.3375403 0.3375403 0.3375403 0.3375403
 0.3375403]",0.33638188,"[1.0674772 1.0674772 1.0674772 1.0775095 1.0775095 1.0775095 1.0775095
 1.0775095 1.0775095 1.0775095 1.0775095 1.0775095 1.0775095 1.0775095
 1.0775095]",1.0755031,"[2758657.5 2758972.  2755621.8 2754189.  2757813.2 2757277.2 2757342.
 2753308.  2751593.  2747615.  2746684.2 2736804.2 2721611.  2701190.2
 3030136.2]",41488814.75,96374,2,855,-15193.25,-20420.75,328946.0,349366.75,3030136.2,2757342.0,2753308.0,2757277.2,2765921.0,11.522,102.40218,-2.4062201182047525,-2.0085105895996094,-3.2596025
"[ -5220.75  -4906.25  -7341.    -8773.75  -5149.5   -4770.    -3835.5
  -7869.5   -8668.75 -12646.75 -13577.5  -22542.   -37735.25 -57286.25
 272575.25]",4816.833333333333,18.0,49786576.0,"[1320.242    1318.5951   1328.1821   1324.5626   1319.1528   1315.3767
 1324.8352   1302.4083   1296.5752   1282.4685   1293.7957   1276.3938
 1242.8203    997.69086    25.722712]",1197.9216,-245.12946,-971.96814,"[0.3317482 0.3317482 0.3317482 0.3375403 0.3375403 0.3375403 0.3375403
 0.3375403 0.3375403 0.3375403 0.3375403 0.3375403 0.3375403 0.3375403
 0.3375403]",0.33638188,"[1.0674772 1.0674772 1.0674772 1.0775095 1.0775095 1.0775095 1.0775095
 1.0775095 1.0775095 1.0775095 1.0775095 1.0775095 1.0775095 1.0775095
 1.0775095]",1.0755031,"[2758657.5 2758972.  2755621.8 2754189.  2757813.2 2757277.2 2757342.
 2753308.  2751593.  2747615.  2746684.2 2736804.2 2721611.  2701190.2
 3030136.2]",41488814.75,96374,2,856,-15193.25,-20420.75,328946.0,349366.75,3030136.2,2757342.0,2753308.0,2757277.2,2765921.0,11.522,102.40218,-2.4062201182047525,-2.0085105895996094,-3.2596025
"[-19684.5  -25112.   -31618.75 -35860.5  -41649.5  -48114.25 -50655.5
 -52297.5  -55110.75 -59209.5  -62648.25 -70381.25 -74150.75 -80686.25
 200968.5 ]",-33747.38333333333,2.0,6510152.5,"[1705.4681 1686.1569 1666.6008 1659.496  1637.3849 1632.4865 1607.9518
 1351.9398 1582.566  1569.1604 1573.7467 1561.9803 1557.5754 1543.2798
 1371.265 ]",1580.4706,-14.295654,-172.01477,"[0.33297578 0.33297578 0.33297578 0.33297578 0.33297578 0.33297578
 0.33297578 0.33297578 0.33297578 0.33297578 0.33297578 0.33297578
 0.33297578 0.33297578 0.33297578]",0.3329758,"[1.0045539 1.0045539 1.0045539 1.0045539 1.0045539 1.0045539 1.0045539
 1.0045539 1.0045539 1.0045539 1.0045539 1.0045539 1.0045539 1.0045539
 1.0045539]",1.0045539,"[3272571.  3267143.5 3259675.5 3254419.2 3248630.2 3242165.5 3238609.5
 3236967.5 3233193.2 3228079.8 3224641.  3215947.  3212177.5 3205642.
 3486282. ]",48826144.5,96532,2,857,-3769.5,-6535.5,280640.0,287175.5,3486282.0,3238609.5,3236967.5,3242165.5,3255076.2,10.485,131.77548,-7.654169082641602,-6.220806121826172,-3.365239
"[-19684.5  -25112.   -31618.75 -35860.5  -41649.5  -48114.25 -50655.5
 -52297.5  -55110.75 -59209.5  -62648.25 -70381.25 -74150.75 -80686.25
 200968.5 ]",-33747.38333333333,7.0,22785534.0,"[1705.4681 1686.1569 1666.6008 1659.496  1637.3849 1632.4865 1607.9518
 1351.9398 1582.566  1569.1604 1573.7467 1561.9803 1557.5754 1543.2798
 1371.265 ]",1580.4706,-14.295654,-172.01477,"[0.33297578 0.33297578 0.33297578 0.33297578 0.33297578 0.33297578
 0.33297578 0.33297578 0.33297578 0.33297578 0.33297578 0.33297578
 0.33297578 0.33297578 0.33297578]",0.3329758,"[1.0045539 1.0045539 1.0045539 1.0045539 1.0045539 1.0045539 1.0045539
 1.0045539 1.0045539 1.0045539 1.0045539 1.0045539 1.0045539 1.0045539
 1.0045539]",1.0045539,"[3272571.  3267143.5 3259675.5 3254419.2 3248630.2 3242165.5 3238609.5
 3236967.5 3233193.2 3228079.8 3224641.  3215947.  3212177.5 3205642.
 3486282. ]",48826144.5,96532,2,858,-3769.5,-6535.5,280640.0,287175.5,3486282.0,3238609.5,3236967.5,3242165.5,3255076.2,10.485,131.77548,-7.654169082641602,-6.220806121826172,-3.365239
"[-147436.   -156619.5  -160354.   -168314.25 -175095.25 -183663.75
 -188693.25 -187661.75 -186860.25 -182470.5  -183373.75 -185882.25
 -196323.5  -229474.25  171496.5 ]",-157381.71666666667,2.0,6401594.5,"[1083.1449  1046.8461  1025.0475   950.26733  844.94763  880.2084
  972.9066  1014.3969   506.58914 1031.7603  1003.1898   988.0994
  943.5741   803.78204  267.45654]",890.81445,-139.79205,-536.3255,"[0.3924259  0.39441726 0.39441726 0.39441726 0.39441726 0.39441726
 0.39441726 0.39441726 0.39441726 0.39441726 0.39441726 0.39441726
 0.39441726 0.39441726 0.39441726]",0.39428452,"[1.207739  1.2131509 1.2131509 1.2131509 1.2131509 1.2131509 1.2131509
 1.2131509 1.2131509 1.2131509 1.2131509 1.2131509 1.2131509 1.2131509
 1.2131509]",1.21279,"[3213918.8 3203827.5 3200093.  3192132.8 3184444.  3175875.5 3169991.5
 3170115.2 3170916.8 3174398.8 3173495.5 3170987.  3159638.  3125579.2
 3526550. ]",48011963.5,96745,2,859,-11349.0,-34058.75,400970.75,435029.5,3526550.0,3169991.5,3170115.2,3175875.5,3200797.2,12.807,151.50467,-8.706153869628906,-9.687251091003418,-8.705491
