distances,distance_mean,minor_events,instability_x_current,ECEcore,ECEcore_mean,ECEcore_dx1,ECEcore_dx2,ZMAG,ZMAG_mean,LI,LI_mean,IPLA,fft_low,shot,label,window,IPLA_dx1,IPLA_dx2,IPLA_dx3,IPLA_ddx,IPLA_1,IPLA_2,IPLA_3,IPLA_4,IPLA_mean,time_window,Vloop_1,Vloop_2,Vloop_3,Vloop_4
"[1662480.125 1663797.125 1664927.    1665357.875 1663628.5   1662928.875
 1663711.5   1664268.5   1663056.125 1660862.25  1661478.875 1660355.125
 1689724.875 1694755.    1697993.   ]",1669288.3166666667,0.0,0.0,"[537.2375  534.4663  543.8218  543.8218  528.3556  524.0943  530.40546
 533.28864 527.7928  518.7688  518.7688  527.7376  511.51355 472.67792
 511.42053]",524.2781,-38.835632,38.742615,"[0.17093298 0.14301492 0.14301492 0.14301492 0.14301492 0.14301492
 0.14301492 0.14301492 0.14301492 0.14301492 0.14301492 0.14301492
 0.14301492 0.14301492 0.14301492]",0.14487611,"[1.1185684 1.1355202 1.1355202 1.1355202 1.1355202 1.1355202 1.1355202
 1.1355202 1.1355202 1.1355202 1.1355202 1.1355202 1.1355202 1.1355202
 1.1355202]",1.13439,"[1662480.1 1663797.1 1664927.  1665357.9 1663628.5 1662928.9 1663711.5
 1664268.5 1663056.1 1660862.2 1661478.9 1660355.1 1689724.9 1694755.
 1697993. ]",25039324.75,96292,1,653,29369.75,5030.125,3238.0,-1792.125,1697993.0,1663711.5,1664268.5,1662928.9,1669288.2,22.688,14.391634,6.652609507242839,1.7267732620239258,1.5414994
"[1670793.625 1656957.    1648648.875 1635766.625 1629530.75  1622942.25
 1616438.375 1607215.125 1603798.125 1602725.875 1621056.625 1627432.25
 1629611.75  1632036.875 1635196.25 ]",1629343.3583333334,1.0,1629343.2,"[576.78784 592.2015  608.34436 617.91705 617.91705 628.32104 626.10583
 639.38245 657.63257 652.0789  594.2526  594.2526  526.03284 553.8984
 554.5102 ]",602.6423,27.86554,0.6118164,"[0.14301492 0.14301492 0.14301492 0.14301492 0.14301492 0.14301492
 0.14301492 0.14301492 0.14301492 0.09127574 0.09127574 0.09127574
 0.09127574 0.09127574 0.09127574]",0.12231923,"[1.1355202 1.1355202 1.1355202 1.1355202 1.1355202 1.1355202 1.1355202
 1.1355202 1.1355202 1.084829  1.084829  1.084829  1.084829  1.084829
 1.084829 ]",1.1152438,"[1670793.6 1656957.  1648648.9 1635766.6 1629530.8 1622942.2 1616438.4
 1607215.1 1603798.1 1602725.9 1621056.6 1627432.2 1629611.8 1632036.9
 1635196.2]",24440150.375,96292,1,654,2179.5,2425.125,3159.375,734.25,1635196.2,1616438.4,1607215.1,1622942.2,1629343.2,22.708,4.056342,2.551831086476644,-5.762202739715576,-3.6334758
"[1527803.125 1521045.25  1516631.125 1509758.    1506646.125 1500417.125
 1500202.25  1502240.25  1509656.5   1512119.625 1516193.75  1519885.5
 1523177.875 1527707.5   1528851.5  ]",1514822.3666666667,2.0,3029645.0,"[757.25134 776.6652  779.61304 783.57025 783.57025 794.7182  794.15393
 797.43787 795.1809  800.6448  786.7592  786.7592  724.9565  695.9503
 715.72253]",771.53015,-29.006165,19.772217,"[0.09127574 0.09824944 0.09824944 0.09824944 0.09824944 0.09824944
 0.09824944 0.09824944 0.09824944 0.09824944 0.09824944 0.09824944
 0.09824944 0.09824944 0.09824944]",0.09778452,"[1.084829  1.1135435 1.1135435 1.1135435 1.1135435 1.1135435 1.1135435
 1.1135435 1.1135435 1.1135435 1.1135435 1.1135435 1.1135435 1.1135435
 1.1135435]",1.1116292,"[1527803.1 1521045.2 1516631.1 1509758.  1506646.1 1500417.1 1500202.2
 1502240.2 1509656.5 1512119.6 1516193.8 1519885.5 1523177.9 1527707.5
 1528851.5]",22722335.5,96292,1,655,3292.375,4529.625,1144.0,-3385.625,1528851.5,1500202.2,1502240.2,1500417.1,1514822.5,22.743,3.7984319,1.8301836649576824,-4.545181751251221,-6.2449603
"[1374181.75  1373369.    1368072.125 1369083.5   1367006.25  1368234.5
 1366680.125 1370302.375 1370884.5   1371418.125 1375978.125 1380517.25
 1384173.    1385064.875 1386993.625]",1374130.6083333334,3.0,4122392.0,"[1012.84314 1011.9884  1010.6578  1009.2329  1025.7719  1025.7719
 1033.7517  1007.45703  929.1222   885.94824  874.36945  874.36945
  865.34015  880.4548   862.6761 ]",953.9836,15.114624,-17.778687,"[0.06938798 0.06938798 0.06938798 0.06938798 0.06938798 0.06938798
 0.06938798 0.06938798 0.06938798 0.06938798 0.06938798 0.06938798
 0.06938798 0.06938798 0.06938798]",0.06938798,"[1.2517078 1.2517078 1.2517078 1.2517078 1.2517078 1.2517078 1.2517078
 1.2517078 1.2517078 1.2517078 1.2517078 1.2517078 1.2517078 1.2517078
 1.2517078]",1.2517077,"[1374181.8 1373369.  1368072.1 1369083.5 1367006.2 1368234.5 1366680.1
 1370302.4 1370884.5 1371418.1 1375978.1 1380517.2 1384173.  1385064.9
 1386993.6]",20611959.125,96292,1,656,3655.75,891.875,1928.75,1036.875,1386993.6,1366680.1,1370302.4,1368234.5,1374130.5,22.805,3.7654407,2.6830151875813804,-0.4426039457321167,-3.1066506
"[1167629.25  1164927.5   1162933.5   1162276.625 1161002.375 1160106.
 1155192.25  1156463.625 1154886.75  1155591.    1153786.5   1153077.
 1298228.375 1308779.    1312420.625]",1188486.6916666667,4.0,4753946.5,"[892.6609  855.2241  858.839   858.839   863.16406 865.8386  862.76105
 863.2956  861.822   857.2468  857.2468  860.2772  664.4064  467.37277
 238.56671]",781.83746,-197.0336,-228.80606,"[0.05448151 0.05448151 0.05448151 0.05448151 0.05448151 0.05448151
 0.06466522 0.06466522 0.06466522 0.06466522 0.06466522 0.06466522
 0.06466522 0.06466522 0.06466522]",0.06059173,"[1.3508625 1.3508625 1.3508625 1.3508625 1.3508625 1.3508625 1.3397908
 1.3397908 1.3397908 1.3397908 1.3397908 1.3397908 1.3397908 1.3397908
 1.3397908]",1.3442193,"[1167629.2 1164927.5 1162933.5 1162276.6 1161002.4 1160106.  1155192.2
 1156463.6 1154886.8 1155591.  1153786.5 1153077.  1298228.4 1308779.
 1312420.6]",17827300.375,96292,1,657,145151.38,10550.625,3641.625,-6909.0,1312420.6,1155192.2,1156463.6,1160106.0,1188486.6,22.959,49.323544,19.165404001871746,-0.23575718700885773,0.360215
"[1312420.625 1311515.625 1308497.375 1300231.    1285266.75  1269171.25
 1254216.875 1238477.125 1222458.875 1217024.25  1203278.625 1192014.625
 1182686.    1181714.875 1186353.5  ]",1244355.1583333334,10.0,12443552.0,"[238.56671 277.7932  291.23148 291.23148 306.6276  312.84558 326.44943
 334.87234 339.3033  343.0339  343.0339  347.66278 348.92783 358.54303
 367.90518]",321.86853,9.615204,9.362152,"[0.06466522 0.06466522 0.06466522 0.06466522 0.06466522 0.06466522
 0.06466522 0.06466522 0.06466522 0.06466522 0.06466522 0.06466522
 0.06466522 0.06466522 0.06466522]",0.06466521,"[1.3397908 1.3397908 1.3397908 1.3397908 1.3397908 1.3397908 1.3397908
 1.3397908 1.3397908 1.3397908 1.3397908 1.3397908 1.3397908 1.3397908
 1.3397908]",1.3397906,"[1312420.6 1311515.6 1308497.4 1300231.  1285266.8 1269171.2 1254216.9
 1238477.1 1222458.9 1217024.2 1203278.6 1192014.6 1182686.  1181714.9
 1186353.5]",18665327.375,96292,1,658,-9328.625,-971.125,4638.625,5609.75,1186353.5,1254216.9,1238477.1,1269171.2,1244355.2,22.973,0.3495431,-3.0875514348347983,2.5464212894439697,28.507345
"[1254216.875 1238477.125 1222458.875 1217024.25  1203278.625 1192014.625
 1182686.    1181714.875 1186353.5   1179262.375 1172975.625 1165033.875
 1160194.875 1154288.5   1156162.75 ]",1191076.1833333333,11.0,13101839.0,"[326.44943 334.87234 339.3033  343.0339  343.0339  347.66278 348.92783
 358.54303 367.90518 368.6438  377.61746 377.61746 384.3079  387.94525
 400.0638 ]",360.39517,3.6373596,12.118561,"[0.06466522 0.06466522 0.06466522 0.06466522 0.06466522 0.06466522
 0.06466522 0.06466522 0.06466522 0.06466522 0.06466522 0.06466522
 0.06466522 0.06466522 0.0944166 ]",0.06664864,"[1.3397908  1.3397908  1.3397908  1.3397908  1.3397908  1.3397908
 1.3397908  1.3397908  1.3397908  1.3397908  1.3397908  1.3397908
 1.3397908  1.3397908  0.99205077]",1.316608,"[1254216.9 1238477.1 1222458.9 1217024.2 1203278.6 1192014.6 1182686.
 1181714.9 1186353.5 1179262.4 1172975.6 1165033.9 1160194.9 1154288.5
 1156162.8]",17866142.75,96292,1,659,-4839.0,-5906.375,1874.25,7780.625,1156162.8,1182686.0,1181714.9,1192014.6,1191076.1,22.979,-3.6608157,-5.666271209716797,-2.672633647918701,-2.7924187
"[1156162.75  1150148.875 1142654.625 1133965.875 1123530.875 1117997.875
 1110560.75  1103368.25  1097267.875 1088523.125 1084956.5   1083473.375
 1097967.375 1110881.875 1115850.125]",1114487.3416666666,12.0,13373846.0,"[400.0638  411.29657 415.62308 428.60254 428.60254 431.8474  437.79633
 441.0412  448.61255 461.0512  464.29608 464.29608 447.5309  357.75626
 370.73575]",427.2768,-89.77466,12.979492,"[0.0944166 0.0944166 0.0944166 0.0944166 0.0944166 0.0944166 0.0944166
 0.0944166 0.0944166 0.0944166 0.0944166 0.0944166 0.0944166 0.0944166
 0.0944166]",0.09441661,"[0.99205077 0.99205077 0.99205077 0.99205077 0.99205077 0.99205077
 0.99205077 0.99205077 0.99205077 0.99205077 0.99205077 0.99205077
 0.99205077 0.99205077 0.99205077]",0.99205095,"[1156162.8 1150148.9 1142654.6 1133965.9 1123530.9 1117997.9 1110560.8
 1103368.2 1097267.9 1088523.1 1084956.5 1083473.4 1097967.4 1110881.9
 1115850.1]",16717310.125,96292,1,660,14494.0,12914.5,4968.25,-7946.25,1115850.1,1110560.8,1103368.2,1117997.9,1114487.4,22.993,6.6211653,-2.1329784393310547,-5.724806308746338,-4.936398
"[1059273.125  1047728.     1038842.25   1033209.8125 1029674.75
 1024261.0625 1020514.3125 1017775.9375 1012589.75   1012416.125
 1007320.375  1003347.4375 1012087.     1019451.9375 1019769.6875]",1023884.1041666666,13.0,13310494.0,"[419.40875 424.81686 426.9801  442.66364 442.66364 442.1228  445.36768
 448.61255 457.80634 460.5104  453.47986 453.47986 457.26553 330.1749
 351.80734]",430.47736,-127.09064,21.632446,"[0.0944166 0.0944166 0.0944166 0.0944166 0.0944166 0.0944166 0.0944166
 0.2552469 0.2552469 0.2552469 0.2552469 0.2552469 0.2552469 0.2552469
 0.2552469]",0.18019275,"[0.99205077 0.99205077 0.99205077 0.99205077 0.99205077 0.99205077
 0.99205077 1.0542483  1.0542483  1.0542483  1.0542483  1.0542483
 1.0542483  1.0542483  1.0542483 ]",1.0252229,"[1059273.1  1047728.   1038842.25 1033209.8  1029674.75 1024261.06
 1020514.3  1017775.94 1012589.75 1012416.1  1007320.4  1003347.44
 1012087.   1019451.94 1019769.7 ]",15358261.5625,96292,1,661,8739.5625,7364.9375,317.75,-7047.1875,1019769.7,1020514.3,1017775.94,1024261.06,1023884.06,23.014,1.0849756,-4.080893834431966,-7.316033840179443,-7.1759963
"[1012416.125  1007320.375  1003347.4375 1012087.     1019451.9375
 1019769.6875 1013117.0625 1005019.6875  996667.75    992301.8125
  981820.8125  976803.5     969310.75    959750.3125  962070.75  ]",995417.0,14.0,13935838.0,"[460.5104  453.47986 453.47986 457.26553 330.1749  351.80734 366.40924
 387.5009  395.61307 395.61307 411.8374  418.86792 426.9801  436.1739
 432.3882 ]",411.87344,9.193787,-3.785675,"[0.2552469 0.2552469 0.2552469 0.2552469 0.2552469 0.2552469 0.2552469
 0.2552469 0.2552469 0.2552469 0.2552469 0.2552469 0.2552469 0.2552469
 0.2552469]",0.2552469,"[1.0542483 1.0542483 1.0542483 1.0542483 1.0542483 1.0542483 1.0542483
 1.0542483 1.0542483 1.0542483 1.0542483 1.0542483 1.0542483 1.0542483
 1.0542483]",1.0542486,"[1012416.1  1007320.4  1003347.44 1012087.   1019451.94 1019769.7
 1013117.06 1005019.7   996667.75  992301.8   981820.8   976803.5
  969310.75  959750.3   962070.75]",14931255.0,96292,1,662,-7492.75,-9560.4375,2320.4375,11880.875,962070.75,1013117.06,1005019.7,1019769.7,995417.06,23.023,-5.0346937,-7.1214548746744795,-1.8104113340377808,-6.7061477
"[951078.     945272.75   937206.6875 932974.1875 928767.3125 929717.6875
 927432.     924179.625  918071.125  914636.5    908635.     901730.0625
 908026.1875 914295.3125 914397.5   ]",923761.3291666667,15.0,13856420.0,"[441.582   465.91852 450.7758  470.7858  467.54095 439.95956 439.95956
 452.39822 460.5104  484.8469  487.01013 470.7858  427.5209  427.5209
 384.256  ]",451.42477,0.0,-43.264893,"[0.2552469 0.2552469 0.2552469 0.2552469 0.2552469 0.2552469 0.2552469
 0.2552469 0.3627657 0.3627657 0.3627657 0.3627657 0.3627657 0.3627657
 0.3627657]",0.30542237,"[1.0542483 1.0542483 1.0542483 1.0542483 1.0542483 1.0542483 1.0542483
 1.0542483 1.1615429 1.1615429 1.1615429 1.1615429 1.1615429 1.1615429
 1.1615429]",1.1043191,"[951078.   945272.75 937206.7  932974.2  928767.3  929717.7  927432.
 924179.6  918071.1  914636.5  908635.   901730.06 908026.2  914295.3
 914397.5 ]",13856419.9375,96292,1,663,6296.125,6269.125,102.1875,-6166.9375,914397.5,927432.0,924179.6,929717.7,923761.3,23.04,-0.28057438,-4.760000864664714,-4.2412824630737305,-6.9937177
"[908635.     901730.0625 908026.1875 914295.3125 914397.5    911503.625
 906375.3125 898902.0625 892870.9375 886027.9375 878193.6875 870731.0625
 867307.3125 863143.25   865093.75  ]",892482.2,16.0,14279715.0,"[487.01013 470.7858  427.5209  427.5209  384.256   394.53143 422.65363
 441.0412  436.7147  454.02066 454.02066 465.3777  454.02066 467.00012
 462.13284]",443.24042,12.979462,-4.867279,"[0.3627657 0.3627657 0.3627657 0.3627657 0.3627657 0.3627657 0.3627657
 0.3627657 0.3627657 0.3627657 0.3627657 0.3627657 0.3627657 0.3627657
 0.3627657]",0.36276573,"[1.1615429 1.1615429 1.1615429 1.1615429 1.1615429 1.1615429 1.1615429
 1.1615429 1.1615429 1.1615429 1.1615429 1.1615429 1.1615429 1.1615429
 1.1615429]",1.1615429,"[908635.   901730.06 908026.2  914295.3  914397.5  911503.6  906375.3
 898902.06 892870.94 886027.94 878193.7  870731.06 867307.3  863143.25
 865093.75]",13387233.0,96292,1,664,-3423.75,-4164.0625,1950.5,6114.5625,865093.75,906375.3,898902.06,911503.6,892482.2,23.05,-3.29859,-5.1178843180338545,-2.110476493835449,-3.0170164
