distances,distance_mean,minor_events,ECEcore,ECEcore_mean,ECEcore_dx1,ECEcore_dx2,ZMAG,ZMAG_mean,LI,LI_mean,IPLA,fft_low,shot,label,window,IPLA_dx1,IPLA_dx2,IPLA_dx3,IPLA_ddx,IPLA_1,IPLA_2,IPLA_3,IPLA_4,IPLA_mean,time_window,Vloop_1,Vloop_2,Vloop_3,Vloop_4
"[-12876.375 -12260.375 -10727.625 -12103.75  -12995.5   -12073.125
 -11323.25  -12790.875 -11648.375 -11756.25  -13407.875 -12476.
 -14757.75  -12248.375 -11877.875]",-12354.891666666666,0.0,"[2730.9648 2747.6748 2743.4297 2736.1436 2739.526  2736.1616 2755.004
 2750.2168 2760.7275 2763.6946 2763.2368 2768.621  2767.9    2770.37
 2771.1602]",1620.1007,2.4702148,0.79003906,"[0.2649049 0.2649049 0.2649049 0.2649049 0.2649049 0.2649049 0.2649049
 0.2649049 0.2649049 0.2649049 0.2649049 0.2649049 0.2649049 0.2649049
 0.2649049]",0.25287306,"[0.8970023 0.8970023 0.8970023 0.8970023 0.8970023 0.8970023 0.8970023
 0.8970023 0.8970023 0.8970023 0.8970023 0.8970023 0.8970023 0.8970023
 0.8970023]",1.2000548,"[1986623.6 1987239.6 1988772.4 1987396.2 1986504.5 1987426.9 1988176.8
 1986709.1 1987851.6 1987743.8 1986092.1 1987024.  1984742.2 1987251.6
 1987622.1]",29807176.625,87587,0,148,-2281.75,2509.375,370.5,-2138.875,1987622.1,1988176.8,1986709.1,1987426.9,1987145.2,16.421,-0.5981375,-0.3732108275095622,-0.7280948162078857,0.2782425
"[-61623.    -59366.125 -59128.    -59725.75  -58305.375 -58675.
 -58222.875 -57861.25  -57687.875 -59961.625 -57725.5   -58017.75
 -57548.625 -57782.5   -59203.625]",-58722.325,0.0,"[1406.667  1415.5459 1404.1791 1404.1791 1407.6855 1417.8208 1427.6713
 1422.0469 1419.9996 1428.1796 1428.1796 1410.7144 1420.3738 1421.5656
 1444.845 ]",1618.7487,1.1917725,23.279419,"[0.25296947 0.25296947 0.25296947 0.25296947 0.25296947 0.25296947
 0.25296947 0.25296947 0.25296947 0.25296947 0.25296947 0.25296947
 0.25296947 0.25296947 0.25296947]",0.2528737,"[1.0376298 1.0376298 1.0376298 1.0376298 1.0376298 1.0376298 1.0376298
 1.0376298 1.0376298 1.0376298 1.0376298 1.0376298 1.0376298 1.0376298
 1.0376298]",1.1989647,"[1937877.  1940133.9 1940372.  1939774.2 1941194.6 1940825.  1941277.1
 1941638.8 1941812.1 1939538.4 1941774.5 1941482.2 1941951.4 1941717.5
 1940296.4]",29111665.125,87587,0,149,469.125,-233.875,-1421.125,-1187.25,1940296.4,1941277.1,1941638.8,1940825.0,1940777.6,22.466,-1.5518262,-0.9413592020670573,-1.0253313779830933,-0.59747124
"[37232.    37403.75  38259.375 37271.5   38692.625 36605.875 37544.875
 38153.375 37386.75  37754.    37924.    37366.375 36996.5   37571.5
 37457.75 ]",37574.683333333334,0.0,"[1706.0919 1717.1218 1719.9365 1719.9365 1714.1216 1721.0027 1724.939
 1725.3572 1725.6637 1728.1836 1731.6307 1733.2094 1468.1042 1465.8018
 1472.4506]",1619.1008,-2.3024902,6.6488037,"[0.20648678 0.20648678 0.20648678 0.20648678 0.20648678 0.20648678
 0.20648678 0.20648678 0.20648678 0.20648678 0.20648678 0.20648678
 0.20648678 0.20648678 0.20648678]",0.25256446,"[1.4779177 1.4779177 1.4779177 1.4779177 1.4779177 1.4779177 1.4779177
 1.4779177 1.4779177 1.4779177 1.4779177 1.4779177 1.4779177 1.4779177
 1.4779177]",1.2008243,"[1099407.2 1098297.5 1099153.1 1098165.2 1099586.4 1097499.6 1097157.2
 1097765.8 1096999.1 1097366.4 1096254.9 1095697.2 1095327.4 1094620.9
 1094507.1]",16457805.125,87587,0,150,-369.875,-706.5,-113.75,592.75,1094507.1,1097157.2,1097765.8,1097499.6,1097186.9,25.935,0.39853626,0.7980718612670898,0.3681296706199646,0.7964062
"[-25980.375 -25889.25  -24871.125 -25690.875 -24677.375 -25883.5
 -25601.5   -25339.25  -25661.625 -24595.75  -24883.125 -25222.
 -25593.625 -24563.75  -24341.125]",-25252.95,0.0,"[1727.8138 1727.8138 1757.3307 1757.3307 1768.6581 1776.0902 1776.0902
 1776.0902 1788.9078 1788.9078 1753.1237 1764.2137 1764.2137 1809.5443
 1809.5443]",1620.0983,45.330566,0.0,"[0.24476649 0.24476649 0.24476649 0.24476649 0.24476649 0.24476649
 0.24476649 0.24476649 0.24476649 0.24476649 0.24476649 0.24476649
 0.24476649 0.24476649 0.24476649]",0.25251278,"[1.1286612 1.1286612 1.1286612 1.1286612 1.1286612 1.1286612 1.1286612
 1.1286612 1.1286612 1.1286612 1.1286612 1.1286612 1.1286612 1.1286612
 1.1286612]",1.2003464,"[1973519.6 1973610.8 1974628.9 1973809.1 1974822.6 1973616.5 1973898.5
 1974160.8 1973838.4 1974904.2 1974616.9 1974278.  1973906.4 1974936.2
 1975158.9]",29613705.75,87588,0,151,-371.625,1029.875,222.625,-807.25,1975158.9,1973898.5,1974160.8,1973616.5,1974246.8,8.059,-0.4771775,-0.6224635442097982,-0.8946245312690735,-0.239255
"[-46162.75  -44358.5   -44392.125 -44791.75  -44385.    -44454.25
 -43127.125 -43077.5   -43993.125 -44372.625 -44238.125 -43554.5
 -42855.5   -44328.875 -42385.625]",-44031.825,0.0,"[1613.7914 1613.7914 1613.7914 1297.2153 1297.2153 1362.1536 1369.4995
 1369.4995 1369.4995 1358.6031 1358.6031 1349.0116 1412.4241 1412.4241
 1384.5101]",1618.7301,0.0,-27.91394,"[0.25689295 0.25689295 0.25689295 0.25689295 0.25689295 0.25689295
 0.25689295 0.25689295 0.25689295 0.25689295 0.25689295 0.25689295
 0.25689295 0.25689295 0.25689295]",0.2525416,"[1.1161077 1.1161077 1.1161077 1.1161077 1.1161077 1.1161077 1.1161077
 1.1161077 1.1161077 1.1161077 1.1161077 1.1161077 1.1161077 1.1161077
 1.1161077]",1.1997921,"[1953337.2 1955141.5 1955107.9 1954708.2 1955115.  1955045.8 1956372.9
 1956422.5 1955506.9 1955127.4 1955261.9 1955945.5 1956644.5 1955171.1
 1957114.4]",29332022.625,87588,0,152,699.0,-1473.375,1943.25,3416.625,1957114.4,1956372.9,1956422.5,1955045.8,1955468.2,10.614,-0.7567525,-0.7295393943786621,-0.9438585638999939,-0.75541997
"[-47216.875 -45948.75  -47271.    -50187.625 -48134.375 -47883.875
 -47273.5   -47056.75  -46859.5   -46006.375 -47144.375 -47995.625
 -46583.5   -46434.375 -47571.875]",-47304.558333333334,0.0,"[1433.4573 1418.9418 1418.9418 1447.6582 1447.1075 1447.1075 1453.3239
 1453.3239 1453.3239 1449.4055 1449.4055 1460.2838 1438.6989 1438.6989
 1438.6989]",1617.5829,0.0,0.0,"[0.25747284 0.25747284 0.25747284 0.25747284 0.25747284 0.25747284
 0.25747284 0.25747284 0.25747284 0.25747284 0.25747284 0.25747284
 0.25747284 0.25747284 0.25747284]",0.25257385,"[1.1137787 1.1137787 1.1137787 1.1137787 1.1137787 1.1137787 1.1137787
 1.1137787 1.1137787 1.1137787 1.1137787 1.1137787 1.1137787 1.1137787
 1.1137787]",1.1992301,"[1952283.1 1953551.2 1952229.  1949312.4 1951365.6 1951616.1 1952226.5
 1952443.2 1952640.5 1953493.6 1952355.6 1951504.4 1952916.5 1953065.6
 1951928.1]",29282931.625,87588,0,153,1412.125,149.125,-1137.5,-1286.625,1951928.1,1952226.5,1952443.2,1951616.1,1952195.5,11.33,-0.758085,-0.7446450392405192,-0.8471394181251526,-0.5951394
"[-16413.75  -15160.    -16013.625 -16812.    -17316.5   -17317.625
 -16838.625 -15510.5   -16526.375 -15903.375  -9835.75   -7441.25
 -14180.625 -13686.625 -14895.875]",-14923.5,0.0,"[3742.2788 3743.8171 3746.3567 3755.606  3766.4006 3756.2576 3767.068
 3767.0396 3784.9382 3786.565  3800.0269 3788.1875 3800.5933 3802.823
 3803.0442]",1631.586,2.2297363,0.2211914,"[0.26534614 0.26534614 0.26534614 0.26534614 0.26534614 0.26534614
 0.26534614 0.26534614 0.26534614 0.26534614 0.26534614 0.26534614
 0.26534614 0.26534614 0.26534614]",0.2526568,"[0.91574365 0.91574365 0.91574365 0.91574365 0.91574365 0.91574365
 0.91574365 0.91574365 0.91574365 0.91574365 0.91574365 0.91574365
 0.91574365 0.91574365 0.91574365]",1.1973891,"[1983086.2 1984340.  1983486.4 1982688.  1982183.5 1982182.4 1982661.4
 1983989.5 1982973.6 1983596.6 1989664.2 1992058.8 1985319.4 1985813.4
 1984604.1]",29768647.5,87588,0,154,-6739.375,494.0,-1209.25,-1703.25,1984604.1,1982661.4,1983989.5,1982182.4,1984576.5,16.91,-0.95702,1.076536496480306,-0.9265301823616028,-0.43885624
"[-12994.25  -12848.    -12308.    -12128.5   -14965.75  -13086.625
 -12286.375 -11443.    -12654.625 -11388.875 -12991.875 -10258.875
 -11456.125  -7752.875  -1803.75 ]",-11357.833333333334,0.0,"[3756.0881 3759.794  3758.3398 3744.247  3747.9148 3739.3303 2851.11
 2852.209  2857.277  2847.2324 2845.5552 2871.8748 2863.3218 2863.9106
 2871.9614]",1641.8038,0.5888672,8.050781,"[0.26367834 0.26367834 0.26367834 0.26367834 0.26367834 0.26367834
 0.26367834 0.26367834 0.26367834 0.26367834 0.26367834 0.26367834
 0.26367834 0.26367834 0.26367834]",0.25272787,"[0.92916995 0.92916995 0.92916995 0.92916995 0.92916995 0.92916995
 0.92916995 0.92916995 0.92916995 0.92916995 0.92916995 0.92916995
 0.92916995 0.92916995 0.92916995]",1.1956587,"[1986505.8 1986652.  1987192.  1987371.5 1984534.2 1986413.4 1987213.6
 1988057.  1986845.4 1988111.1 1986508.1 1989241.1 1988043.9 1991747.1
 1997696.2]",29822132.5,87588,0,155,-1197.25,3703.25,5949.125,2245.875,1997696.2,1987213.6,1988057.0,1986413.4,1988142.2,21.12,2.3139088,0.34555351734161377,-0.2679126560688019,0.00066624954
"[-57518.    -57852.875 -56612.75  -57087.625 -57344.5   -57673.125
 -57140.    -57108.125 -56437.375 -58046.5   -56629.625 -57118.875
 -58525.25  -58540.375 -56732.375]",-57357.825,0.0,"[ 988.49023  994.7771   997.69965  996.4587  1004.4495  1004.13385
 1009.8258  1009.8258  1012.0534  1017.75934 1018.32324 1015.68634
 1023.4838   963.6296   963.6296 ]",1637.6984,-59.854248,0.0,"[0.25907853 0.25907853 0.25907853 0.25907853 0.25907853 0.25907853
 0.25907853 0.25907853 0.25907853 0.25907853 0.25907853 0.25907853
 0.25907853 0.25907853 0.25907853]",0.25276858,"[1.0671483 1.0671483 1.0671483 1.0671483 1.0671483 1.0671483 1.0671483
 1.0671483 1.0671483 1.0671483 1.0671483 1.0671483 1.0671483 1.0671483
 1.0671483]",1.1948348,"[1641982.  1641647.1 1642887.2 1642412.4 1642155.5 1641826.9 1642360.
 1642391.9 1643062.6 1641453.5 1642870.4 1642381.1 1640974.8 1640959.6
 1642767.6]",24632132.625,87871,0,156,-1406.375,-15.125,1808.0,1823.125,1642767.6,1642360.0,1642391.9,1641826.9,1642142.2,11.733,-1.1166344,-1.3685522079467773,-1.0763976573944092,-1.4348637
"[-42494.75  -40971.5   -40515.125 -40616.375 -39082.625 -39261.
 -40241.375 -39759.    -40059.25  -40147.625 -39975.125 -40515.5
 -39944.    -39478.875 -39839.   ]",-40193.40833333333,0.0,"[1481.4536 1486.0272 1485.3116 1500.323  1509.8762 1513.6208 1515.505
 1524.0079 1527.8174 1520.105  1504.3579 1492.152  1483.395  1487.3733
 1490.4463]",1636.8306,3.9782715,3.072998,"[0.25318465 0.25318465 0.25318465 0.25318465 0.25318465 0.25318465
 0.25318465 0.25318465 0.25318465 0.25318465 0.25318465 0.25318465
 0.25318465 0.25318465 0.25188065]",0.25277066,"[1.0312604 1.0312604 1.0312604 1.0312604 1.0312604 1.0312604 1.0312604
 1.0312604 1.0312604 1.0312604 1.0312604 1.0312604 1.0312604 1.0312604
 1.0295068]",1.1937923,"[1657005.2 1658528.5 1658984.9 1658883.6 1660417.4 1660239.  1659258.6
 1659741.  1659440.8 1659352.4 1659524.9 1658984.5 1659556.  1660021.1
 1659661. ]",24889598.875,87871,0,157,571.5,465.125,-360.125,-825.25,1659661.0,1659258.6,1659741.0,1660239.0,1659306.6,18.121,-0.9970069,-1.0095585187276204,-0.7970724701881409,-0.5578175
